total_loss,accuracy
1.0293327569961548,52.97
0.8667508363723755,53.38
0.9629641771316528,53.64
0.9370665550231934,53.88
0.8069465756416321,54.26
0.8037657737731934,54.6
0.8153298497200012,54.94
0.8356971144676208,55.24
0.6331627368927002,55.65
0.8572770953178406,55.88
0.8285804986953735,56.18
0.7505941390991211,56.47
0.697901725769043,56.79
0.8590439558029175,56.96
0.7148398160934448,57.25
0.6943416595458984,57.52
0.7450113892555237,57.73
0.6763657331466675,57.99
0.6915568709373474,58.24
0.8519188761711121,58.44
0.7393152117729187,58.64
0.775097668170929,58.85
0.6676638722419739,59.1
0.5658313035964966,59.36
0.5993461012840271,59.57
0.5541337728500366,59.81
0.6526160836219788,59.96
0.548654317855835,60.22
0.6980777978897095,60.4
0.6298385262489319,60.59
0.5312058925628662,60.81
0.5924407243728638,61.01
0.5956180095672607,61.15
0.44714322686195374,61.35
0.7855520248413086,61.49
0.5078384280204773,61.71
0.7179584503173828,61.83
0.386931449174881,62.09
0.6376035809516907,62.21
0.5387778282165527,62.37
0.7850430607795715,62.47
0.5778269171714783,62.67
0.3865432143211365,62.9
0.4079304039478302,63.14
0.4400395452976227,63.34
0.5891995429992676,63.51
0.38526633381843567,63.7
0.5089569687843323,63.89
0.4366495609283447,64.07
0.4973790645599365,64.23
0.5085113048553467,64.38
0.413293719291687,64.6
0.43173807859420776,64.77
0.5880964994430542,64.91
0.4098406434059143,65.07
0.4231143593788147,65.22
0.4721238613128662,65.38
0.5146088600158691,65.56
0.6430847644805908,65.66
0.4602685868740082,65.8
0.46876469254493713,65.96
0.4404776692390442,66.13
0.4074907600879669,66.3
0.6790341734886169,66.41
0.42000752687454224,66.59
0.3480187654495239,66.75
0.5868857502937317,66.82
0.39806678891181946,66.96
0.38430559635162354,67.09
0.3964284658432007,67.25
0.3903472423553467,67.37
0.30934908986091614,67.53
0.43509209156036377,67.67
0.4602550268173218,67.78
0.409878671169281,67.93
0.39685216546058655,68.06
0.4235576093196869,68.18
0.6359681487083435,68.26
0.3397656977176666,68.41
0.3757636249065399,68.54
0.3717297315597534,68.68
0.6123335957527161,68.79
0.4400198757648468,68.91
0.38263508677482605,69.05
0.2910609841346741,69.18
0.41631728410720825,69.29
0.4564134478569031,69.41
0.2034778892993927,69.56
0.5950561761856079,69.66
0.4351848363876343,69.76
0.2491127997636795,69.89
0.3023872971534729,70.02
0.4222052991390228,70.12
0.2966485917568207,70.25
0.4071482717990875,70.35
0.4694262146949768,70.44
0.335928350687027,70.55
0.31037235260009766,70.66
0.7096409797668457,70.71
0.5745669007301331,70.8
0.21631501615047455,70.93
0.4602786898612976,71.01
0.46162834763526917,71.09
0.2869739830493927,71.2
0.48690497875213623,71.26
0.2892383635044098,71.37
0.2587531805038452,71.48
0.266475111246109,71.61
0.3945835530757904,71.69
0.45451417565345764,71.78
0.4166271984577179,71.88
0.5211178064346313,71.93
0.35232841968536377,72.03
0.4413594901561737,72.11
0.5833572745323181,72.18
0.5876728892326355,72.25
0.33295339345932007,72.35
0.5286038517951965,72.38
0.3615286946296692,72.44
0.5273039937019348,72.49
0.4421643316745758,72.56
0.25425079464912415,72.67
0.251912921667099,72.79
0.3516747057437897,72.88
0.5125887393951416,72.92
0.38817939162254333,73.01
0.4343804717063904,73.1
0.4155745208263397,73.17
0.22858582437038422,73.25
0.43876519799232483,73.33
0.49109452962875366,73.4
0.41954904794692993,73.47
0.3273976147174835,73.54
0.29243186116218567,73.61
0.3668907880783081,73.69
0.5432687401771545,73.76
0.47298184037208557,73.79
0.42220553755760193,73.84
0.3418329358100891,73.89
0.2471679300069809,73.99
0.2968471050262451,74.07
0.4973505139350891,74.13
0.4751124083995819,74.18
0.47241732478141785,74.24
0.3930627405643463,74.3
0.1790877729654312,74.4
0.5422950983047485,74.43
0.2788837254047394,74.5
0.2998253405094147,74.58
0.4479180574417114,74.62
0.3946905732154846,74.66
0.35570698976516724,74.73
0.4979816675186157,74.78
0.354122519493103,74.84
0.22075802087783813,74.93
0.30175864696502686,75.0
0.32713648676872253,75.05
0.4400348663330078,75.12
0.2650851011276245,75.2
0.3262307941913605,75.27
0.4910556972026825,75.31
0.3507048487663269,75.38
0.37554481625556946,75.41
0.5700141191482544,75.45
0.4393373429775238,75.49
0.3593842089176178,75.54
0.36462095379829407,75.6
0.5410420298576355,75.64
0.556931734085083,75.67
0.4552862346172333,75.72
0.33417272567749023,75.77
0.3867688775062561,75.83
0.25435858964920044,75.92
0.4418225586414337,75.96
0.28092795610427856,76.03
0.2900536358356476,76.1
0.43640467524528503,76.14
0.28985846042633057,76.2
0.25930309295654297,76.27
0.308624804019928,76.32
0.37661874294281006,76.38
0.34591421484947205,76.42
0.4296165108680725,76.47
0.3431050777435303,76.53
0.3083776533603668,76.58
0.2180739939212799,76.65
0.7274850606918335,76.67
0.2544786036014557,76.73
0.303835391998291,76.78
0.504098117351532,76.81
0.3615305721759796,76.86
0.5283411741256714,76.89
0.33018651604652405,76.94
0.2374436855316162,77.0
0.3139190971851349,77.04
0.22855958342552185,77.1
0.2453940212726593,77.15
0.3584632873535156,77.19
0.3611631393432617,77.24
0.3872404098510742,77.29
0.2163468897342682,77.34
0.33958345651626587,77.37
0.29986587166786194,77.42
0.31391483545303345,77.45
0.33188968896865845,77.5
0.3228495717048645,77.53
0.20422080159187317,77.58
0.31279316544532776,77.62
0.7185083031654358,77.63
0.35815441608428955,77.65
0.4265158176422119,77.69
0.3608120381832123,77.74
0.4034463167190552,77.79
0.36174798011779785,77.84
0.27828818559646606,77.89
0.4951169192790985,77.92
0.4771205186843872,77.94
0.3889629542827606,77.96
0.6275392174720764,77.95
0.38804465532302856,77.99
0.4406905770301819,78.03
0.2422168105840683,78.09
0.1554194986820221,78.15
0.4382590651512146,78.17
0.1863693743944168,78.22
0.19055981934070587,78.27
0.43197694420814514,78.28
0.3735424876213074,78.3
0.5162663459777832,78.32
0.3008718192577362,78.35
0.3997492492198944,78.38
0.25266072154045105,78.42
0.23165816068649292,78.47
0.3278968036174774,78.5
0.46487897634506226,78.53
0.4554980993270874,78.57
0.2970360517501831,78.6
0.2483796328306198,78.64
0.3370087146759033,78.68
0.38870003819465637,78.71
0.29383164644241333,78.74
0.3052917718887329,78.78
0.2629662752151489,78.82
0.3017118573188782,78.85
0.2654196619987488,78.89
0.3423561155796051,78.91
0.2886500954627991,78.95
0.6119711995124817,78.99
0.47722285985946655,79.03
0.5453140735626221,79.06
0.22946511209011078,79.09
0.3301239311695099,79.13
0.5509596467018127,79.15
0.3564273715019226,79.19
0.2957626283168793,79.22
0.3166934847831726,79.26
0.3266899883747101,79.29
0.49227526783943176,79.31
0.39965954422950745,79.34
0.3431766927242279,79.38
0.3515635132789612,79.42
0.45430928468704224,79.44
0.12947288155555725,79.5
